Time	TS	TMT	TMR	SeqExp	SeqRcv
10:48:10.483	11908	1405673290452	1405673290483	2	2
10:48:10.748	12172	1405673290717	1405673290748	3	3
10:48:11.013	12436	1405673290982	1405673291013	4	4
10:48:11.279	12704	1405673291248	1405673291279	5	5
10:48:11.544	12976	1405673291513	1405673291544	6	6
10:48:11.810	13232	1405673291778	1405673291810	7	7
10:48:12.075	13496	1405673292044	1405673292075	8	8
10:48:12.340	13764	1405673292309	1405673292340	1	9
10:48:12.606	14028	1405673292575	1405673292606	0	0
10:48:12.871	14292	1405673292840	1405673292871	1	1
10:48:13.136	14564	1405673293105	1405673293136	2	2
10:48:13.386	14824	1405673293371	1405673293386	3	3
10:48:13.667	15088	1405673293636	1405673293667	4	4
10:48:13.933	15356	1405673293901	1405673293933	5	5
10:48:14.198	15620	1405673294167	1405673294198	6	6
10:48:14.463	15884	1405673294432	1405673294463	7	7
10:48:14.729	16148	1405673294698	1405673294729	8	8
10:48:14.994	32	1405673294963	1405673294994	1	9
10:48:15.259	296	1405673295228	1405673295259	0	0
10:48:15.525	564	1405673295494	1405673295525	1	1
10:48:15.790	828	1405673295759	1405673295790	2	2
10:48:16.056	1092	1405673296024	1405673296056	3	3
10:48:16.321	1356	1405673296290	1405673296321	4	4
10:48:16.586	1624	1405673296555	1405673296586	5	5
10:48:16.852	1900	1405673296821	1405673296852	6	6
10:48:17.117	2156	1405673297086	1405673297117	7	7
10:48:17.382	2420	1405673297351	1405673297382	8	8
10:48:17.648	2684	1405673297617	1405673297648	1	9
10:48:17.913	2948	1405673297882	1405673297913	0	0
10:48:18.179	3216	1405673298147	1405673298179	1	1
10:48:18.444	3480	1405673298413	1405673298444	2	2
10:48:18.709	3744	1405673298678	1405673298709	3	3
10:48:18.975	4012	1405673298944	1405673298975	4	4
10:48:19.240	4280	1405673299209	1405673299240	5	5
10:48:19.505	4540	1405673299474	1405673299505	6	6
10:48:19.771	4804	1405673299740	1405673299771	7	7
10:48:20.036	5068	1405673300005	1405673300036	8	8
10:48:20.302	5336	1405673300270	1405673300302	1	9
10:48:20.567	5600	1405673300536	1405673300567	0	0
10:48:20.832	5864	1405673300801	1405673300832	1	1
10:48:21.098	6132	1405673301067	1405673301098	2	2
10:48:21.363	6396	1405673301332	1405673301363	3	3
10:48:21.628	6660	1405673301597	1405673301628	4	4
10:48:21.894	6928	1405673301863	1405673301894	5	5
10:48:22.159	7192	1405673302128	1405673302159	6	6
10:48:22.425	7456	1405673302393	1405673302425	7	7
10:48:22.690	7720	1405673302659	1405673302690	8	8
10:48:22.955	7992	1405673302924	1405673302955	1	9
10:48:23.221	8252	1405673303190	1405673303221	0	0
10:48:23.502	8516	1405673303455	1405673303502	1	1
10:48:23.751	8784	1405673303720	1405673303751	2	2
10:48:24.017	9048	1405673303986	1405673304017	3	3
