Time	TS	TMT	TMR	delay	offs	error	errorSum	zeroOffset	regOffsMs	phase	tsOffset
16:13:49.147	12500	1405692829086	1405692829147	30	1405692816616	4	3	1405692816612	1405692816612	2	0
16:13:49.386	12744	1405692829336	1405692829386	25	1405692816617	5	7	1405692816612	1405692816612	2	0
16:13:49.638	12996	1405692829587	1405692829638	25	1405692816616	4	10	1405692816612	1405692816612	2	0
16:13:49.887	13244	1405692829837	1405692829887	25	1405692816618	6	15	1405692816612	1405692816612	2	0
16:13:50.133	13496	1405692830087	1405692830133	23	1405692816614	2	16	1405692816612	1405692816612	2	0
16:13:50.384	13744	1405692830338	1405692830384	23	1405692816617	5	20	1405692816612	1405692816612	2	0
16:13:50.640	13996	1405692830588	1405692830639	25	1405692816617	5	24	1405692816612	1405692816612	2	0
16:13:50.889	14244	1405692830838	1405692830889	25	1405692816619	7	30	1405692816612	1405692816612	2	0
16:13:51.135	14496	1405692831089	1405692831135	23	1405692816616	4	33	1405692816612	1405692816612	2	0
16:13:51.386	14744	1405692831339	1405692831386	23	1405692816618	6	38	1405692816612	1405692816612	2	0
16:13:51.640	14996	1405692831589	1405692831640	25	1405692816618	6	43	1405692816612	1405692816612	2	0
16:13:51.886	15244	1405692831840	1405692831886	23	1405692816619	7	49	1405692816612	1405692816612	2	0
16:13:52.147	15500	1405692832090	1405692832147	28	1405692816618	6	54	1405692816612	1405692816612	2	0
16:13:52.390	15744	1405692832340	1405692832390	25	1405692816621	9	62	1405692816612	1405692816612	2	0
16:13:52.642	15996	1405692832591	1405692832642	25	1405692816620	8	69	1405692816612	1405692816613	2	0
16:13:52.890	16244	1405692832841	1405692832890	24	1405692816621	8	76	1405692816612	1405692816613	2	0
16:13:53.141	16496	1405692833091	1405692833140	24	1405692816619	6	81	1405692816612	1405692816613	3	16384
16:13:53.401	16744	1405692833342	1405692833401	29	1405692816627	14	94	1405692816612	1405692816613	3	16384
16:13:53.639	16996	1405692833592	1405692833639	23	1405692816619	6	99	1405692816612	1405692816613	3	16384
16:13:53.888	17244	1405692833843	1405692833888	22	1405692816621	8	106	1405692816612	1405692816613	3	16384
16:13:54.142	17496	1405692834093	1405692834142	24	1405692816621	8	113	1405692816612	1405692816613	3	16384
16:13:54.391	17744	1405692834343	1405692834391	24	1405692816623	10	122	1405692816612	1405692816613	3	16384
16:13:54.643	17996	1405692834594	1405692834642	24	1405692816622	9	130	1405692816612	1405692816614	3	16384
16:13:54.892	18248	1405692834844	1405692834892	24	1405692816620	6	135	1405692816612	1405692816614	3	16384
16:13:55.142	18500	1405692835094	1405692835142	24	1405692816618	4	138	1405692816612	1405692816614	3	16384
16:13:55.396	18748	1405692835345	1405692835396	25	1405692816622	8	145	1405692816612	1405692816614	3	16384
16:13:55.647	18996	1405692835595	1405692835646	25	1405692816624	10	154	1405692816612	1405692816614	3	16384
16:13:55.892	19248	1405692835845	1405692835892	23	1405692816620	6	159	1405692816612	1405692816614	3	16384
16:13:56.144	19496	1405692836096	1405692836144	24	1405692816624	10	168	1405692816612	1405692816614	3	16384
16:13:56.398	19748	1405692836346	1405692836398	26	1405692816624	10	177	1405692816612	1405692816614	3	16384
16:13:56.647	19996	1405692836596	1405692836647	25	1405692816625	11	187	1405692816612	1405692816614	3	16384
16:13:56.899	20248	1405692836847	1405692836899	26	1405692816625	11	197	1405692816612	1405692816615	3	16384
16:13:57.146	20496	1405692837097	1405692837146	24	1405692816625	10	206	1405692816612	1405692816615	1	16384
16:13:57.396	20748	1405692837347	1405692837396	24	1405692816623	8	213	1405692816612	1405692816615	1	16384
16:13:57.644	20996	1405692837598	1405692837644	23	1405692816625	10	222	1405692816612	1405692816615	1	16384
16:13:57.897	21248	1405692837848	1405692837897	24	1405692816624	9	230	1405692816612	1405692816615	1	16384
16:13:58.147	21496	1405692838098	1405692838147	24	1405692816626	11	240	1405692816612	1405692816615	1	16384
16:13:58.399	21748	1405692838349	1405692838399	25	1405692816626	11	250	1405692816612	1405692816615	1	16384
16:13:58.650	21996	1405692838599	1405692838649	25	1405692816628	13	262	1405692816612	1405692816616	1	16384
16:13:58.900	22248	1405692838850	1405692838900	25	1405692816627	11	272	1405692816612	1405692816616	1	16384
16:13:59.151	22496	1405692839100	1405692839151	25	1405692816629	13	284	1405692816612	1405692816616	1	16384
16:13:59.402	22748	1405692839350	1405692839402	26	1405692816628	12	295	1405692816612	1405692816616	1	16384
16:13:59.650	23000	1405692839601	1405692839650	24	1405692816625	9	303	1405692816612	1405692816616	1	16384
16:13:59.899	23248	1405692839851	1405692839899	24	1405692816627	11	313	1405692816612	1405692816616	1	16384
16:14:00.151	23496	1405692840101	1405692840151	25	1405692816630	14	326	1405692816612	1405692816617	1	16384
16:14:00.402	23748	1405692840352	1405692840402	25	1405692816629	12	337	1405692816612	1405692816617	1	16384
16:14:00.648	23996	1405692840602	1405692840648	23	1405692816629	12	348	1405692816612	1405692816617	1	16384
16:14:00.899	24248	1405692840852	1405692840899	23	1405692816627	10	357	1405692816612	1405692816617	1	16384
16:14:01.150	24496	1405692841103	1405692841150	23	1405692816630	13	369	1405692816612	1405692816617	1	16384
16:14:01.402	24752	1405692841353	1405692841402	24	1405692816625	8	376	1405692816612	1405692816617	1	16384
16:14:01.653	24996	1405692841603	1405692841653	25	1405692816632	15	390	1405692816612	1405692816618	1	16384
16:14:01.901	25252	1405692841854	1405692841901	23	1405692816625	7	396	1405692816612	1405692816618	1	16384
16:14:02.153	25496	1405692842104	1405692842153	24	1405692816632	14	409	1405692816612	1405692816618	1	16384
16:14:02.414	25752	1405692842354	1405692842414	30	1405692816632	14	422	1405692816612	1405692816618	1	16384
16:14:02.653	25996	1405692842605	1405692842653	24	1405692816633	15	436	1405692816612	1405692816618	1	16384
16:14:02.904	26248	1405692842855	1405692842903	24	1405692816631	13	448	1405692816612	1405692816619	1	16384
16:14:03.157	26496	1405692843105	1405692843157	26	1405692816635	16	463	1405692816612	1405692816619	1	16384
16:14:03.404	26748	1405692843356	1405692843404	24	1405692816632	13	475	1405692816612	1405692816619	1	16384
16:14:03.680	27016	1405692843606	1405692843680	37	1405692816627	8	482	1405692816612	1405692816619	1	16384
16:14:03.908	27248	1405692843857	1405692843908	25	1405692816634	15	496	1405692816612	1405692816619	1	16384
16:14:04.158	27496	1405692844107	1405692844158	25	1405692816636	17	512	1405692816612	1405692816620	1	16384
16:14:04.407	27748	1405692844357	1405692844407	25	1405692816634	14	525	1405692816612	1405692816620	1	16384
16:14:04.658	28000	1405692844608	1405692844658	25	1405692816633	13	537	1405692816612	1405692816620	1	16384
16:14:04.904	28248	1405692844858	1405692844904	23	1405692816633	13	549	1405692816612	1405692816620	1	16384
16:14:05.159	28496	1405692845108	1405692845159	25	1405692816637	17	565	1405692816612	1405692816620	1	16384
16:14:05.410	28752	1405692845359	1405692845410	25	1405692816632	12	576	1405692816612	1405692816621	2	16384
16:14:05.658	28996	1405692845609	1405692845658	24	1405692816637	16	591	1405692816612	1405692816621	2	16384
16:14:05.905	29248	1405692845859	1405692845905	23	1405692816634	13	603	1405692816612	1405692816621	2	16384
16:14:06.159	29496	1405692846110	1405692846158	24	1405692816638	17	619	1405692816612	1405692816621	2	16384
16:14:06.408	29748	1405692846360	1405692846408	24	1405692816636	15	633	1405692816612	1405692816621	2	16384
16:14:06.659	29996	1405692846610	1405692846658	24	1405692816638	17	649	1405692816612	1405692816622	2	16384
16:14:06.911	30248	1405692846861	1405692846911	25	1405692816638	16	664	1405692816612	1405692816622	2	16384
16:14:07.161	30496	1405692847111	1405692847161	25	1405692816640	18	681	1405692816612	1405692816622	2	16384
16:14:07.410	30748	1405692847361	1405692847410	24	1405692816637	15	695	1405692816612	1405692816622	2	16384
16:14:07.662	30996	1405692847612	1405692847662	25	1405692816641	19	713	1405692816612	1405692816623	2	16384
16:14:07.910	31248	1405692847862	1405692847910	24	1405692816638	15	727	1405692816612	1405692816623	2	16384
16:14:08.163	31500	1405692848112	1405692848163	25	1405692816637	14	740	1405692816612	1405692816623	2	16384
16:14:08.412	31748	1405692848363	1405692848412	24	1405692816639	16	755	1405692816612	1405692816623	2	16384
16:14:08.661	31996	1405692848613	1405692848660	23	1405692816640	17	771	1405692816612	1405692816624	2	16384
16:14:08.910	32248	1405692848864	1405692848910	23	1405692816639	15	785	1405692816612	1405692816624	2	16384
16:14:09.164	32496	1405692849114	1405692849164	25	1405692816643	19	803	1405692816612	1405692816624	2	16384
16:14:09.415	32752	1405692849364	1405692849415	25	1405692816637	13	815	1405692816612	1405692816624	2	16384
16:14:09.662	32996	1405692849615	1405692849662	23	1405692816642	18	832	1405692816612	1405692816625	3	32768
16:14:09.914	33248	1405692849865	1405692849914	24	1405692816641	16	847	1405692816612	1405692816625	3	32768
16:14:10.162	33496	1405692850115	1405692850162	23	1405692816642	17	863	1405692816612	1405692816625	3	32768
16:14:10.418	33752	1405692850366	1405692850418	26	1405692816640	15	877	1405692816612	1405692816625	3	32768
16:14:10.665	34000	1405692850616	1405692850665	24	1405692816640	15	891	1405692816612	1405692816625	3	32768
16:14:10.913	34248	1405692850866	1405692850913	23	1405692816641	16	906	1405692816612	1405692816626	3	32768
16:14:11.166	34496	1405692851117	1405692851166	24	1405692816645	19	924	1405692816612	1405692816626	3	32768
16:14:11.415	34748	1405692851367	1405692851415	24	1405692816643	17	940	1405692816612	1405692816626	3	32768
16:14:11.666	34996	1405692851617	1405692851666	24	1405692816645	19	958	1405692816612	1405692816626	3	32768
16:14:11.919	35248	1405692851868	1405692851919	25	1405692816645	19	976	1405692816612	1405692816627	3	32768
16:14:12.168	35500	1405692852118	1405692852168	25	1405692816643	16	991	1405692816612	1405692816627	3	32768
16:14:12.417	35748	1405692852368	1405692852417	24	1405692816644	17	1007	1405692816612	1405692816627	3	32768
16:14:12.675	36004	1405692852619	1405692852675	28	1405692816643	16	1022	1405692816612	1405692816627	3	32768
16:14:12.918	36248	1405692852869	1405692852918	24	1405692816645	18	1039	1405692816612	1405692816628	3	32768
16:14:13.167	36504	1405692853120	1405692853167	23	1405692816639	11	1049	1405692816612	1405692816628	3	32768
16:14:13.419	36748	1405692853370	1405692853419	24	1405692816646	18	1066	1405692816612	1405692816628	3	32768
16:14:13.671	37000	1405692853621	1405692853671	25	1405692816646	18	1083	1405692816612	1405692816628	1	32768
16:14:13.937	37260	1405692853871	1405692853936	32	1405692816643	15	1097	1405692816612	1405692816629	1	32768
16:14:14.171	37500	1405692854121	1405692854171	25	1405692816646	17	1113	1405692816612	1405692816629	1	32768
16:14:14.420	37748	1405692854372	1405692854420	24	1405692816648	19	1131	1405692816612	1405692816629	1	32768
16:14:14.669	38000	1405692854622	1405692854669	23	1405692816645	16	1146	1405692816612	1405692816629	1	32768
16:14:14.919	38248	1405692854872	1405692854919	23	1405692816647	18	1163	1405692816612	1405692816630	1	32768
16:14:15.188	38500	1405692855123	1405692855188	32	1405692816655	25	1187	1405692816612	1405692816630	1	32768
16:14:15.422	38748	1405692855373	1405692855422	24	1405692816649	19	1205	1405692816612	1405692816630	1	32768
16:14:15.675	39000	1405692855623	1405692855675	26	1405692816649	19	1223	1405692816612	1405692816631	1	32768
16:14:15.921	39248	1405692855874	1405692855921	23	1405692816649	18	1240	1405692816612	1405692816631	1	32768
16:14:16.172	39500	1405692856124	1405692856172	24	1405692816648	17	1256	1405692816612	1405692816631	1	32768
16:14:16.415	39752	1405692856375	1405692856415	20	1405692816643	12	1267	1405692816612	1405692816631	1	32768
16:14:16.680	40000	1405692856625	1405692856680	27	1405692816652	21	1287	1405692816612	1405692816632	1	32768
16:14:16.925	40252	1405692856875	1405692856925	25	1405692816648	16	1302	1405692816612	1405692816632	1	32768
16:14:17.174	40500	1405692857126	1405692857174	24	1405692816650	18	1319	1405692816612	1405692816632	1	32768
16:14:17.425	40752	1405692857376	1405692857425	24	1405692816648	16	1334	1405692816612	1405692816632	1	32768
16:14:17.677	41000	1405692857626	1405692857677	25	1405692816651	19	1352	1405692816612	1405692816633	1	32768
16:14:17.929	41252	1405692857877	1405692857929	26	1405692816651	18	1369	1405692816612	1405692816633	1	32768
16:14:18.180	41500	1405692858127	1405692858179	26	1405692816653	20	1388	1405692816612	1405692816633	1	32768
16:14:18.426	41752	1405692858377	1405692858426	24	1405692816649	16	1403	1405692816612	1405692816633	1	32768
16:14:18.677	42000	1405692858628	1405692858676	24	1405692816652	19	1421	1405692816612	1405692816634	1	32768
